time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/loss,train/learning_rate
1,353,14,486400,170.51,-0.6678485342735401,0.8646433353424072,-0.011729278723942116,0.013112199,2.852407920360565,912,0.017208061390556396,0.14122635796666144,0.058172356337308884,0.2,0.01277047861367464,0.0003
1,323,15,491520,171.81,-0.7723911504730586,0.8395592570304871,-0.014767490290978458,0.043059096,2.8489625081419945,919,0.019447231708909385,0.21071777399629354,0.058384574949741364,0.2,0.05791226029396057,0.0003
1,258,19,496640,170.74,-0.795054658280514,0.7788359522819519,-0.01114910895936191,0.01562773,2.8432804012298583,929,0.025834755748510362,0.1448892691731453,0.058406658470630646,0.2,0.007746724411845207,0.0003
1,268,19,501760,172.16,-0.8748745080703416,0.8939826488494873,-0.014222026777861174,0.012778928,2.8383359968662263,939,0.020399736682884397,0.1710063736885786,0.05872827023267746,0.2,0.00997660867869854,0.0003
1,202,25,506880,175.78,-0.9431385277351662,0.8102896213531494,-0.01181429805001244,0.011013842,2.827899169921875,949,0.03106084275059402,0.13936628960072994,0.059005267918109894,0.2,0.006586010567843914,0.0003
1,192,26,512000,173.06,-0.7842742960912317,0.8651995062828064,-0.010077031214896124,0.015814435,2.821002388000488,959,0.017217301931232214,0.17211796082556247,0.0590735524892807,0.2,0.004320234525948763,0.0003
1,164,31,517120,175.86,-0.8756637399990508,0.7162988185882568,-0.011088953173020855,0.013791815,2.8195922315120696,969,0.024465770251117645,0.15891600996255875,0.05913437902927399,0.2,0.0185072161257267,0.0003
1,99,51,522240,175.38,-0.8955493166874865,0.8424429893493652,-0.011060340277617797,0.017020198,2.813807076215744,979,0.025378346815705298,0.1484108865261078,0.05941703915596008,0.2,0.014690409414470196,0.0003
1,181,28,527360,172.59,-0.8419896606691332,0.7602713704109192,-0.011271309619769455,0.0153745655,2.8082993030548096,989,0.03245197362266481,0.15153553253039717,0.05941339582204819,0.2,0.016928065568208694,0.0003
1,275,18,532480,174.36,-0.9691031057588855,0.8484423160552979,-0.011089278536383062,0.014322357,2.806395614147186,999,0.020086826686747373,0.15096775013953448,0.0596468523144722,0.2,0.015205532312393188,0.0003
1,276,18,537600,174.12,-1.0318618960302026,0.8625586628913879,-0.01430942571721971,0.015046323,2.7930909490585325,1009,0.02087400320917368,0.17402795240283012,0.06007825583219528,0.2,0.008401121944189072,0.0003
1,297,17,542720,173.36,-1.0673663911032423,0.9308924078941345,-0.01409135929425247,0.015164904,2.7865009903907776,1019,0.017008124245330693,0.1422001987695694,0.0600426122546196,0.2,0.008532725274562836,0.0003
1,237,21,547840,175.37,-1.104947402387413,0.8323050737380981,-0.007546930335229263,0.01159225,2.7893135130405424,1029,0.041934664361178875,0.16208161637187005,0.05997416377067566,0.2,0.030499164015054703,0.0003
1,262,19,552960,181.08,-1.2805945779813268,0.9001989364624023,-0.010905639769043773,0.01125215,2.789742422103882,1039,0.031203946471214293,0.14332137256860733,0.059974305331707,0.2,0.01631265878677368,0.0003
